7:eve01.cha-*CHI:	xxx at ?
189:eve01.cha-*CHI:	like the farm .
241:eve01.cha-*CHI:	lie down stool .
255:eve01.cha-*CHI:	lie down stool .
500:eve01.cha-*CHI:	on wall . [+ IMIT]
560:eve01.cha-*CHI:	on the table .
607:eve01.cha-*CHI:	like a swing . [+ IMIT]
684:eve02.cha-*CHI:	top a [: of][* fil] can .
689:eve02.cha-*CHI:	xxx top a [: of][* fil] can . [+ RES]
997:eve02.cha-*CHI:	from Granny .
1012:eve02.cha-*CHI:	from Nanny .
1098:eve02.cha-*CHI:	turn <up hill> [/] up hill . [+ RES]
1109:eve02.cha-*CHI:	up hill . [+ RES]
1117:eve02.cha-*CHI:	up hill .
1216:eve02.cha-*CHI:	on table .
1408:eve02.cha-*CHI:	out_of study . [+ IMIT]
1413:eve02.cha-*CHI:	out the study .
1452:eve03.cha-*CHI:	at home .
1566:eve03.cha-*CHI:	Mommy two xxx play with .
1699:eve03.cha-*CHI:	on a table . [+ RES]
1779:eve03.cha-*CHI:	oh look at me .
1804:eve04.cha-*CHI:	sit by you . [+ IMIT]
1814:eve04.cha-*CHI:	man by you .
1849:eve04.cha-*CHI:	on this [!!] paper .
2076:eve04.cha-*CHI:	up [/] up sock .
2091:eve04.cha-*CHI:	after lunch . [+ IMIT]
2302:eve04.cha-*CHI:	u(n)de(r) stool . [+ RES]
2339:eve04.cha-*CHI:	by Cromer .
2349:eve04.cha-*CHI:	by Cromer . [+ IMIT]
2670:eve05.cha-*CHI:	on Wednesday . [+ RES]
2738:eve05.cha-*CHI:	in box . [+ IMIT]
2766:eve05.cha-*CHI:	by . [+ IMIT]
2778:eve05.cha-*CHI:	by rock+chair [: rocking+chair] . [+ IMIT]
2878:eve05.cha-*CHI:	Eve sit on Mommy lap .
2889:eve05.cha-*CHI:	by me . [+ IMIT]
2934:eve05.cha-*CHI:	by tape+recorder .
2992:eve05.cha-*CHI:	on stool Mommy way .
3073:eve05.cha-*CHI:	in the toy xxx box . [+ RES]
3154:eve05.cha-*CHI:	xxx look at the high+chair . [+ RES]
3204:eve05.cha-*CHI:	Eve stand up Mommy stool .
3241:eve05.cha-*CHI:	Eve under (.) Cromer . [+ RES]
3247:eve05.cha-*CHI:	Eve under Cromer . [+ RES]
3258:eve05.cha-*CHI:	behind +...
3267:eve05.cha-*CHI:	behind [/] behind .
3272:eve05.cha-*CHI:	behind Cromer .
3277:eve05.cha-*CHI:	behind Cromer .
3282:eve05.cha-*CHI:	Eve behind Cromer .
3287:eve05.cha-*CHI:	Eve behind Cromer .
3292:eve05.cha-*CHI:	Eve (be)hind Cromer again .
3298:eve05.cha-*CHI:	Eve (be)hind Cromer .
3303:eve05.cha-*CHI:	Eve (be)hind Cromer .
3398:eve05.cha-*CHI:	running down stair . [+ IMIT]
3499:eve05.cha-*CHI:	the dustpan on [/] on shoe . [+ RES]
